"mov_id","mov_idusuario","mov_concepto","mov_importe","mov_tipo","mov_estado","mov_fechaalta"
"1","1","Asignación inicial","100","100","A","2017-05-22"
"2","1","consumo","-10","200","A","2017-05-23"
"3","2","Compra puntos","200","100","A","2017-05-23"
"4","1","Consumo","-25","200","A","2017-05-23"
"5","3","Asignación","30","100","A","2017-05-23"
"6","2","Consumo","-150","200","A","2017-05-23"
"7","3","cristina","50","100","A","2017-05-23"
"8","4","Asinación inicial despues +5 +5 y anular 5","100","100","A","2017-05-23"
"11","4","cargo 5 de prueba","-5","200","A","2017-05-23"
"14","11","Bienvenida","15","100","A","2017-05-24"
"13","4","fgdfgdf","20","100","A","2017-05-23"
"15","10","Bienvenida","15","100","A","2017-05-24"
"16","17","Bienvenida","15","100","A","2017-05-24"
"17","9","Bienvenida","15","100","A","2017-05-24"
"18","6","Bienvenida","15","100","A","2017-05-24"
"19","13","Bienvenida","15","100","A","2017-05-24"
"20","16","Bienvenida","15","100","A","2017-05-24"
"21","12","Bienvenida","15","100","A","2017-05-24"
"22","14","Bienvenida","15","100","A","2017-05-24"
"23","18","Bienvenida","15","100","A","2017-05-24"
"24","15","Bienvenida","15","100","A","2017-05-24"
"25","7","Bienvenida","15","100","A","2017-05-24"
"26","8","Bienvenida","15","100","A","2017-05-24"
"27","16","Cita Anais","10","100","A","2017-05-24"
"28","19","Bienvenida","15","100","A","2017-05-25"
"29","22","Bienvenida","15","100","A","2017-05-25"
"30","23","Bienvenida","15","100","A","2017-05-25"
"31","21","Bienvenida","15","100","A","2017-05-25"
"32","20","Bienvenida","15","100","A","2017-05-25"
"33","24","Bienvenida","15","100","A","2017-05-26"
"34","24","Cita anais","10","100","A","2017-05-26"
"35","28","Bienvenida","15","100","A","2017-05-26"
"36","27","Bienvenida","15","100","A","2017-05-26"
"37","26","Bienvenida","15","100","A","2017-05-26"
"38","25","Bienvenida","15","100","A","2017-05-26"
"39","29","Bienvenida","15","100","A","2017-05-26"
"40","30","Bienvenida","15","100","A","2017-05-26"
"41","30","Cita Anais","12","100","A","2017-05-26"
"42","35","Bienvenida","15","100","A","2017-05-30"
"43","35","Cita Ruth 27/06","12","100","A","2017-05-30"
"44","6","Cita Anais 29/05","12","100","A","2017-05-30"
"45","36","Bienvenida","15","100","A","2017-05-30"
"46","50","Bienvenida","15","100","A","2017-05-30"
"47","49","Bienvenida","15","100","A","2017-05-30"
"48","48","Bienvenida","15","100","A","2017-05-30"
"49","47","Bienvenida","15","100","A","2017-05-30"
"50","44","Bienvenida","15","100","A","2017-05-30"
"51","45","Bienvenida","15","100","A","2017-05-30"
"52","46","Bienvenida","15","100","A","2017-05-30"
"53","43","Bienvenida","15","100","A","2017-05-30"
"54","42","Bienvenida","15","100","A","2017-05-30"
"55","37","Bienvenida","15","100","A","2017-05-30"
"56","38","Bienvenida","15","100","A","2017-05-30"
"57","39","Bienvenida","15","100","A","2017-05-30"
"58","40","Bienvenida","15","100","A","2017-05-30"
"59","41","Bienvenida","15","100","A","2017-05-30"
"60","31","Bienvenida","15","100","A","2017-05-30"
"61","33","Bienvenida","15","100","A","2017-05-30"
"62","34","Bienvenida","15","100","A","2017-05-30"
"63","32","Bienvenida","15","100","A","2017-05-30"
"64","36","Cita tania","12","100","A","2017-05-30"
"65","55","Bienvenida","15","100","A","2017-05-30"
"66","57","Bienvenida","15","100","A","2017-05-30"
"67","40","Cita Blanca 30/05","10","100","A","2017-05-31"
"68","23","Cita Tania 45 min 30/05","10","100","A","2017-05-31"
"69","65","Bienvenida","15","100","A","2017-05-31"
"70","54","Bienvenida","15","100","A","2017-05-31"
"71","53","Bienvenida","15","100","A","2017-05-31"
"72","52","Bienvenida","15","100","A","2017-05-31"
"73","51","Bienvenida","15","100","A","2017-05-31"
"74","40","cita blanca 31/05","10","100","A","2017-06-01"
"75","33","cita Marina 31/05","10","100","A","2017-06-01"
"76","68","Bienvenida y regalo","50","100","A","2017-06-01"
"77","68","Cita Marina31/05","8","100","A","2017-06-01"
"78","68","Cita Tamara 01/06","8","100","A","2017-06-01"
"79","8","Cita Anais 01/06","12","100","A","2017-06-02"
"80","75","Bienvenida","15","100","A","2017-06-02"
"81","74","Bienvenida","15","100","A","2017-06-02"
"82","73","Bienvenida","15","100","A","2017-06-02"
"83","72","Bienvenida","15","100","A","2017-06-02"
"84","71","Bienvenida","15","100","A","2017-06-02"
"85","70","Bienvenida","15","100","A","2017-06-02"
"86","66","Bienvenida","15","100","A","2017-06-02"
"87","67","Bienvenida","15","100","A","2017-06-02"
"88","69","Bienvenida","15","100","A","2017-06-02"
"89","36","cita tania 1.30 min","18","100","A","2017-06-02"
"90","7","Cita Sara 31/05","12","100","A","2017-06-05"
"91","89","Bienvenida","15","100","A","2017-06-06"
"92","88","Bienvenida","15","100","A","2017-06-06"
"93","87","Bienvenida","15","100","A","2017-06-06"
"94","86","Bienvenida","15","100","A","2017-06-06"
"95","85","Bienvenida","15","100","A","2017-06-06"
"96","84","Bienvenida","15","100","A","2017-06-06"
"97","83","Bienvenida","15","100","A","2017-06-06"
"98","80","Bienvenida","15","100","A","2017-06-06"
"99","81","Bienvenida","15","100","A","2017-06-06"
"100","82","Bienvenida","15","100","A","2017-06-06"
"101","79","Bienvenida","15","100","A","2017-06-06"
"102","85","Cita  Anais 05/06","12","100","A","2017-06-06"
"103","74","Cita  Anais 05/06","8","100","A","2017-06-06"
"104","66","cita tamara 05/06","10","100","A","2017-06-06"
"105","68","cita blanca 6/6","8","100","A","2017-06-07"
"106","50","cita anais 6/6","12","100","A","2017-06-07"
"107","91","Bienvenida","15","100","A","2017-06-07"
"108","90","Bienvenida","15","100","A","2017-06-07"
"109","96","Bienvenida","15","100","A","2017-06-09"
"110","95","Bienvenida","15","100","A","2017-06-09"
"111","94","Bienvenida","15","100","A","2017-06-09"
